created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;retweeted_status;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str;quoted_status_id;quoted_status_id_str;quoted_status;quoted_status_permalink;extended_entities;possibly_sensitive;extended_tweet
Sat Nov 21 20:34:22 +0000 2020;1330248210636566530;1330248210636566530;"RT @felipeneto: Segundo Bolsonaro e sua corja...

O que não existe no Brasil:
- Racismo
- Homofobia
- Queimadas
- Massacre indígena
- Destr…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;;False;low;pt;1605990862889;70626715;70626715;jeanlpan;Valinhos - SP;Gremista, marido, irmão e professor.;False;False;271;471;Tue Sep 01 07:48:24 +0000 2009;felipeneto;Felipe Neto 🇧🇷🏴;14128609;14128609;;;;;;;
Sat Nov 21 20:34:22 +0000 2020;1330248211085266947;1330248211085266947;"RT @felipeneto: Segundo Bolsonaro e sua corja...

O que não existe no Brasil:
- Racismo
- Homofobia
- Queimadas
- Massacre indígena
- Destr…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;;False;low;pt;1605990862996;1213819015;1213819015;_Letssz;-ES-;Em dezembro de 81.... ⚫🔴;False;False;1397;1054;Sat Feb 23 22:06:30 +0000 2013;felipeneto;Felipe Neto 🇧🇷🏴;14128609;14128609;;;;;;;
Sat Nov 21 20:34:24 +0000 2020;1330248216797962242;1330248216797962242;RT @EsquadraDireita: Depois das vitórias do centrão nas eleições municipais, há um processo de rompimento com o governo federal. Bolsonaro…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;;False;low;pt;1605990864358;113793583;113793583;Korinta;Rio de Janeiro - Brasil;"Liberal. ""Polimultiultrapolar"" em tudo que faz.
Se venera político não me siga.
Sem extremos aqui, por favor!";False;False;4197;2963;Sat Feb 13 02:22:09 +0000 2010;EsquadraDireita;ESQUADRA DIREITISTA 🔰Ⓜ️🇧🇷 #MAGA 🇺🇸🦅🐘;1275905470478376962;1275905470478376962;;;;;;;
Sat Nov 21 20:34:25 +0000 2020;1330248221743083525;1330248221743083525;"RT @felipeneto: Segundo Bolsonaro e sua corja...

O que não existe no Brasil:
- Racismo
- Homofobia
- Queimadas
- Massacre indígena
- Destr…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;;False;low;pt;1605990865537;1152734983649464321;1152734983649464321;isadorando_;Fortaleza, Brasil;Escrevendo um monte, mas aí a edição já não é comigo. [ELA/DELA];False;False;54;121;Sun Jul 21 00:20:11 +0000 2019;felipeneto;Felipe Neto 🇧🇷🏴;14128609;14128609;;;;;;;
Sat Nov 21 20:34:26 +0000 2020;1330248223861125121;1330248223861125121;"RT @felipeneto: Segundo Bolsonaro e sua corja...

O que não existe no Brasil:
- Racismo
- Homofobia
- Queimadas
- Massacre indígena
- Destr…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;;False;low;pt;1605990866042;69888621;69888621;vivanalmeida;Mundo da Lua;não tomo sol, mas só me queimo;False;False;173;153;Sat Aug 29 15:19:11 +0000 2009;felipeneto;Felipe Neto 🇧🇷🏴;14128609;14128609;;;;;;;
Sat Nov 21 20:34:26 +0000 2020;1330248226381946883;1330248226381946883;"RT @BrazilFight: BOLSONARO
- Não nos deixemos ser manipulados por grupos políticos. Como homem e como Presidente, sou daltônico: todos têm…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;;False;low;pt;1605990866643;1222967383024906240;1222967383024906240;Drica15151;;;False;False;7;219;Thu Jan 30 19:39:00 +0000 2020;BrazilFight;FamíliaDireitaBrasil;1105126592370618370;1105126592370618370;;;;;;;
Sat Nov 21 20:34:27 +0000 2020;1330248229301137408;1330248229301137408;RT @secomvc: Mesmo não sendo um problema diretamente ligado ao Governo Federal, o Presidente e o Governo trabalharam intensamente desde o i…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;;True;low;pt;1605990867339;550234883;550234883;neybcruz;;;False;False;231;282;Tue Apr 10 16:14:31 +0000 2012;secomvc;SecomVc;1158389772920020993;1158389772920020993;1.329581886511997e+18;1329581886511996928;;;;;
Sat Nov 21 20:34:28 +0000 2020;1330248232941875202;1330248232941875202;RT @FalaTuCarlaNns: Esse caralho não vai ligar a porra dessa chave nao?! Aqui eu tô sem energia ainda Bolsonaro fdp;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;;False;low;pt;1605990868207;1659017342;1659017342;dnizluciana;Macapá, Brasil;tranquila como um vulcão;False;False;351;256;Sat Aug 10 01:50:59 +0000 2013;FalaTuCarlaNns;Carl1nha #SOSAmapa;335795248;335795248;;;;;;;
Sat Nov 21 20:34:29 +0000 2020;1330248236972584960;1330248236972584960;"RT @felipeneto: Segundo Bolsonaro e sua corja...

O que não existe no Brasil:
- Racismo
- Homofobia
- Queimadas
- Massacre indígena
- Destr…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;;False;low;pt;1605990869168;4194515439;4194515439;Shiromachine;Rio de Janeiro, Brasil;Eu vou morrer sozinho - ISFJ;False;False;72;473;Sun Nov 15 14:37:53 +0000 2015;felipeneto;Felipe Neto 🇧🇷🏴;14128609;14128609;;;;;;;
Sat Nov 21 20:34:29 +0000 2020;1330248238386077700;1330248238386077700;"RT @felipeneto: Segundo Bolsonaro e sua corja...

O que não existe no Brasil:
- Racismo
- Homofobia
- Queimadas
- Massacre indígena
- Destr…";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;;False;low;pt;1605990869505;879448127316647936;879448127316647936;_oywithepoodles;gryffindor tower ;enfp | type 8 | she/her;False;False;142;152;Mon Jun 26 21:15:47 +0000 2017;felipeneto;Felipe Neto 🇧🇷🏴;14128609;14128609;;;;;;;
